model,regime,feature,group,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
donut,lora,criterion_type,structure_clarity,34,10,0.29411764705882354,0.604810996563574,0.3298969072164949,0.024390243902438935,0.65,0.758287544405155,0.65,0.8942424492462154,0.9073928715621604,0.2,1.0,0.45999999999999996,0.5979130371550699,0.0
donut,zero_shot,handwriting_density_grp,high,102,0,0.0,,,,,,,,,,,,,
donut,zero_shot,handwriting_density_grp,low,96,0,0.0,,,,,,,,,,,,,
donut,zero_shot,handwriting_density_grp,mid,93,0,0.0,,,,,,,,,,,,,
donut,zero_shot,answer_length_grp,high,99,0,0.0,,,,,,,,,,,,,
donut,zero_shot,answer_length_grp,low,97,0,0.0,,,,,,,,,,,,,
donut,zero_shot,answer_length_grp,mid,95,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,data_mining,32,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,databases,64,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,environment,18,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,image_processing,28,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,machine_learning,36,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,networking,45,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,other,40,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,programming,20,0,0.0,,,,,,,,,,,,,
donut,zero_shot,criterion_scale_grp,large_scale,151,0,0.0,,,,,,,,,,,,,
donut,zero_shot,criterion_scale_grp,small_scale,140,0,0.0,,,,,,,,,,,,,
donut,zero_shot,criterion_type,application,74,0,0.0,,,,,,,,,,,,,
donut,zero_shot,criterion_type,definition_theory,126,0,0.0,,,,,,,,,,,,,
donut,zero_shot,criterion_type,numerical,48,0,0.0,,,,,,,,,,,,,
donut,zero_shot,criterion_type,structure_clarity,34,0,0.0,,,,,,,,,,,,,
ensemble,few_shot,handwriting_density_grp,high,102,102,1.0,0.5675774338408548,0.37488920024018524,0.07080258302583042,0.6303921563952577,0.8449097867844475,-0.12549019561094396,0.5837847891005914,0.5915411956301054,0.22549019607843138,0.8529411764705882,0.25412581675972035,0.33662412526642194,0.0
ensemble,few_shot,handwriting_density_grp,low,96,96,1.0,0.5881731108050101,0.3735498839907193,0.05806302666512764,0.8203125,1.0228508974104356,-0.5182291666666666,0.659163738352329,0.6903247034102977,0.11458333333333333,0.7291666666666666,0.31037326388888886,0.3845878381673083,0.0
ensemble,few_shot,handwriting_density_grp,mid,93,93,1.0,0.5604029445951182,0.34447996065896236,0.041713221601489714,0.9247311827956989,1.1453505825681705,-0.27419354838709675,0.5876398204876736,0.5921739251417526,0.10752688172043011,0.6344086021505376,0.29534050179211474,0.3633227695679138,0.0
ensemble,few_shot,answer_length_grp,high,99,99,1.0,0.517631485150964,0.3473186105831083,0.07509050566390263,0.7479797974981442,0.9924080492022612,0.014646465128118341,0.51982603911946,0.5234302004707335,0.1919191919191919,0.7373737373737373,0.25997474723392067,0.3340614412714952,0.0
ensemble,few_shot,answer_length_grp,low,97,97,1.0,0.6341238737388328,0.396080561591175,0.051317454838338605,0.7680412371134021,0.9443265204999739,-0.4948453608247423,0.7065134815324026,0.7479355872512788,0.12371134020618557,0.7835051546391752,0.28960481099656354,0.355312226570541,0.0
ensemble,few_shot,answer_length_grp,mid,95,95,1.0,0.5290690550189932,0.33355119825708057,0.037677578752316365,0.8473684210526315,1.0821518523658995,-0.4368421052631579,0.59357351057391,0.6031803523233426,0.1368421052631579,0.7052631578947368,0.3089912280701754,0.3938959977170926,0.0
ensemble,few_shot,subject,data_mining,32,32,1.0,0.7369327972429638,0.556415215989684,0.2566371681415929,0.671875,0.9457966219013473,-0.109375,0.8067157956745106,0.8000144773422974,0.34375,0.78125,0.16796875,0.23644915547533682,0.0
ensemble,few_shot,subject,databases,64,64,1.0,0.15984224517991308,0.06576209859791948,0.0,1.008593749254942,1.1957117380718687,-0.9070312492549419,0.3360286183631648,0.3228625564401868,0.0625,0.546875,0.41184895796080434,0.48480491623680855,0.0
ensemble,few_shot,subject,environment,18,18,1.0,-0.06373117033603704,-0.01612903225806428,0.019230769230769162,0.7777777777777778,0.8416254115301732,-0.6388888888888888,-0.23677880069726215,-0.3480926374927951,0.05555555555555555,0.8888888888888888,0.3888888888888889,0.4208127057650866,0.0
ensemble,few_shot,subject,image_processing,28,28,1.0,0.029723366686286057,-0.03664122137404591,-0.13173652694610793,0.8660714285714286,1.025348372853971,0.33035714285714285,0.03312471704742931,0.009765834200568929,0.03571428571428571,0.6785714285714286,0.2526785714285714,0.288681578164296,0.0
ensemble,few_shot,subject,machine_learning,36,36,1.0,0.43375959079283877,0.15744680851063841,-0.003215434083601032,0.3819444444444444,0.462105687767059,-0.1597222222222222,0.6995575853605195,0.42957348171413806,0.2777777777777778,1.0,0.1527777777777778,0.1848422751068236,0.0
ensemble,few_shot,subject,networking,45,45,1.0,0.7889672421579185,0.5367192862045298,0.13043478260869568,0.5,0.6123724356957945,-0.23333333333333334,0.8398220793515259,0.8062756629853318,0.2,0.9555555555555556,0.3194444444444444,0.40697051490249264,0.0
ensemble,few_shot,subject,other,40,40,1.0,0.035785288270377746,0.0363349131121643,0.03750884642604391,0.7625,0.9536115561380326,-0.45,0.04564263340652845,0.06410134550068995,0.15,0.775,0.190625,0.23840288903450815,0.0
ensemble,few_shot,subject,programming,20,20,1.0,0.07196969696969702,0.03179190751445082,-0.04986876640419946,1.675,1.8354154842977652,0.6,0.24668070518103002,0.2672470511692884,0.0,0.25,0.41875,0.4588538710744413,0.0
ensemble,few_shot,criterion_scale_grp,large_scale,151,151,1.0,0.506734584470295,0.3109131682531717,0.08497745208568208,0.9635761589403974,1.207386208697798,-0.22185430463576158,0.5309207974987968,0.5145597400219006,0.1456953642384106,0.6158940397350994,0.25965783664459163,0.33017961753887276,0.0
ensemble,few_shot,criterion_scale_grp,small_scale,140,140,1.0,0.5544275108291588,0.3269850402761796,0.016432483924743946,0.5967857139451164,0.7325469262200512,-0.3896428568022592,0.6392344618790794,0.6682819618395122,0.15714285714285714,0.8785714285714286,0.31410714268684387,0.39253639475491026,0.0
ensemble,few_shot,criterion_type,application,74,74,1.0,0.3738740436437644,0.22854851643945462,0.07242339832869082,0.9662162162162162,1.2316216512760287,-0.12162162162162163,0.3929932138397588,0.3363595607375405,0.14864864864864866,0.6621621621621622,0.36317567567567566,0.4496385560437195,0.0
ensemble,few_shot,criterion_type,definition_theory,126,126,1.0,0.41969390157758424,0.23910244620194954,0.011945767680468955,0.7817460317460317,0.9850066473065525,-0.4007936507936508,0.4650895793917178,0.4755774448180371,0.15079365079365079,0.7380952380952381,0.27447089947089953,0.3389458057850241,0.0
ensemble,few_shot,criterion_type,numerical,48,48,1.0,0.6750061927173644,0.42068965517241386,0.07913669064748197,0.7291666666666666,0.924211375534118,-0.4166666666666667,0.7250261183855491,0.48421785055898925,0.16666666666666666,0.7708333333333334,0.19010416666666666,0.24097572443820667,0.0
